source,action,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
world_pairwise,gamma,HEM_PA107.nii.gz,foreground,2,1,0.8403883688260669,0.0650562196969986,0.4574090100536565,0.8217780212757875,-0.0540359480933416
world_pairwise,gamma,HEM_PA107.nii.gz,overall,2,1,0.9965480521873191,0.4999999403953552,0.9342733111000768,0.9996439339306599,0.12456513721077536
confidence_rank,all,HEM_PA107.nii.gz,overall,4,2,0.9965480521873191,0.5000000596046448,0.9879605848406531,0.9999575605499028,0.13996518525477702
confidence_rank,all,HEM_PA107.nii.gz,foreground,4,2,0.8403883688260669,0.024497011676430702,0.7068809032503335,0.9031756397024421,0.26247223344795195
confidence_rank,all,HEM_PA107.nii.gz,background,4,2,0.9992431878495813,0.5083922147750854,0.9973922984893143,0.9999980167887982,0.06698412919313215
world_pairwise,all,HEM_PA107.nii.gz,overall,4,2,0.9965480521873191,0.4999999403953552,0.9342733111000768,0.9996439339306599,0.12456513721077536
world_pairwise,all,HEM_PA107.nii.gz,foreground,4,2,0.8403883688260669,0.0650562196969986,0.4574090100536565,0.8217780212757875,-0.0540359480933416
world_pairwise,all,HEM_PA107.nii.gz,background,4,2,0.9992431878495813,0.5076762735843658,0.9501311410820006,0.9998475829483555,0.06061914407010768
joint_product,all,HEM_PA107.nii.gz,overall,4,2,0.9965480521873191,0.2550484389066696,0.9832999526267171,0.9999407055570134,0.1386277336444014
joint_product,all,HEM_PA107.nii.gz,foreground,4,2,0.8403883688260669,0.0023422010708600283,0.5987965163849114,0.8669537670911154,0.12534428546240947
joint_product,all,HEM_PA107.nii.gz,background,4,2,0.9992431878495813,0.2595975399017334,0.9951846092774111,0.9999962536374214,0.06668649296054335
confidence_rank,blur,HEM_PA81.nii.gz,background,2,1,0.9999344630896274,0.5192444622516632,0.9998758718465217,0.9999999918627187,0.01982395538608846
